Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gemin6	0.350891779	-0.046423703	0.092	0.127	1
Hax1	0.35100369	0.014439875	0.178	0.167	1
Tpgs1	0.351760626	0.030641537	0.116	0.096	1
Ing5	0.35191519	-0.026490112	0.196	0.216	1
Pgrmc2	0.352051172	-0.033314477	0.145	0.166	1
Flad1	0.352626749	0.038769356	0.101	0.072	1
Rnf11	0.352714124	0.01986708	0.15	0.137	1
Zfp672	0.352919392	0.024204723	0.133	0.119	1
Arntl	0.353526307	0.036676463	0.102	0.079	1
Emc10	0.353556352	0.009100275	0.239	0.232	1
Mcm7	0.353713347	-0.034110856	0.143	0.163	1
Mtch2	0.354221584	0.006904411	0.291	0.291	1
Paip1	0.354525485	0.016552678	0.166	0.153	1
Ppm1a	0.355061258	0.00660682	0.279	0.278	1
Ints9	0.355314218	0.027108014	0.123	0.105	1
Casc3	0.356676744	-0.019522383	0.304	0.323	1
Icmt	0.35689939	0.027018964	0.123	0.107	1
Mrps2	0.357058088	-0.055510114	0.068	0.105	1
Trim39	0.357498366	0.027633919	0.119	0.105	1
Gabpb1	0.35754543	0.01558102	0.172	0.163	1
Pop4	0.357558829	0.036497815	0.102	0.079	1
Fam8a1	0.35757091	0.034656815	0.105	0.083	1
Smarcal1	0.358356306	0.035185263	0.104	0.081	1
Prkrip1	0.358757076	0.019803756	0.148	0.135	1
Toe1	0.359107991	0.0269364	0.123	0.107	1
Nelfe	0.359736974	0.013843422	0.183	0.174	1
Agpat3	0.360469663	0.025894526	0.127	0.109	1
Atg101	0.360869223	0.02319528	0.134	0.118	1
Btrc	0.360912929	0.036289629	0.101	0.077	1
Trak1	0.360973524	0.023376287	0.134	0.121	1
Ankrd40	0.360994312	0.018391667	0.157	0.143	1
Uba3	0.361162736	0.020917921	0.142	0.129	1
Gm9493	0.361384718	-0.029260143	0.164	0.188	1
Dctn6	0.361492983	0.030311069	0.113	0.095	1
Trappc11	0.361578358	0.02671741	0.123	0.105	1
Pdha1	0.362538137	-0.029911705	0.165	0.184	1
Fbxw5	0.36389428	0.030830227	0.112	0.092	1
Zfp787	0.364293188	0.02520316	0.127	0.111	1
Ehmt2	0.364454699	-0.032917512	0.145	0.169	1
Lztfl1	0.364698615	0.024151392	0.131	0.116	1
Slc10a3	0.36545494	-0.043305045	0.1	0.128	1
Trmt10a	0.365633021	-0.041276045	0.105	0.134	1
Memo1	0.366059164	-0.046625985	0.089	0.12	1
Rcor1	0.366720129	0.015384261	0.168	0.156	1
Taf13	0.367296257	0.029488999	0.114	0.096	1
Pik3r4	0.368067266	0.030534639	0.112	0.093	1
Fnta	0.368209152	0.01350425	0.179	0.174	1
Jmy	0.369198373	-0.055144385	0.068	0.101	1
Mtif3	0.369331884	0.03509256	0.103	0.079	1
Klhl12	0.369532258	0.016157951	0.161	0.152	1
Ndel1	0.369664821	0.012317358	0.19	0.182	1
Dram2	0.369964503	0.03491356	0.102	0.081	1
Pip5k1c	0.370132824	0.019968538	0.143	0.135	1
Fbxo46	0.370569976	0.035157299	0.102	0.078	1
Mrpl46	0.370707034	-0.029495708	0.163	0.183	1
Dmac2	0.370847938	0.019638782	0.144	0.135	1
Mylip	0.371021367	0.033629793	0.102	0.082	1
Xpc	0.37113584	-0.037274266	0.122	0.147	1
Trim59	0.371140474	0.028749788	0.114	0.097	1
Man1b1	0.371181306	0.027531563	0.12	0.1	1
Chsy1	0.372068626	0.030576812	0.108	0.093	1
Edrf1	0.372259189	0.023243119	0.132	0.117	1
Ermard	0.372962153	0.026201612	0.121	0.104	1
Ormdl1	0.373212123	0.035293227	0.1	0.079	1
Tmem5	0.373537676	-0.034471077	0.133	0.156	1
Jrkl	0.374357464	0.032785385	0.105	0.084	1
Ppil1	0.374802226	-0.042970996	0.099	0.128	1
Fam207a	0.376540124	0.016232388	0.159	0.152	1
Nfrkb	0.377072088	-0.0229816	0.217	0.235	1
Fcf1	0.37808913	0.007167918	0.265	0.258	1
Tubgcp6	0.37887807	0.032963425	0.104	0.083	1
Trp53rkb	0.379400878	-0.048992087	0.081	0.112	1
Fbxo28	0.379467282	0.034927728	0.1	0.079	1
Med20	0.379498667	0.024203767	0.126	0.109	1
Ppp2r5d	0.379699683	0.033177116	0.104	0.082	1
Uqcc3	0.379820356	0.007474975	0.254	0.251	1
Usp32	0.379845866	0.035997737	0.1	0.074	1
Hspa14	0.379997379	0.010458957	0.204	0.2	1
Tmem161b	0.380218858	0.023045146	0.129	0.114	1
Cpsf1	0.380415658	-0.033041904	0.141	0.161	1
Ccdc127	0.380775756	-0.037530402	0.117	0.143	1
Cuedc2	0.381201641	0.023071928	0.129	0.117	1
Dmac1	0.381490497	0.012752649	0.181	0.173	1
Clcn4	0.382096876	0.012670873	0.18	0.178	1
Ccdc90b	0.383656031	0.029299933	0.111	0.093	1
Pias4	0.384061353	0.011093325	0.189	0.189	1
Tmem184c	0.384365048	0.026408865	0.116	0.104	1
Wiz	0.385523208	-0.040282319	0.104	0.134	1
Zfp729a	0.386738047	0.018732509	0.147	0.132	1
Tsc2	0.386740327	0.03461172	0.1	0.077	1
Lrp6	0.38733549	-0.024936473	0.202	0.221	1
Foxred1	0.387682953	0.028298842	0.113	0.095	1
Ccdc186	0.388017074	0.026187131	0.117	0.102	1
Zscan26	0.388129529	0.033889144	0.101	0.078	1
Calu	0.388144133	0.015178742	0.162	0.154	1
Brcc3	0.38847105	0.011617393	0.187	0.183	1
Gga1	0.388878633	0.02524149	0.121	0.106	1
Lgals9	0.389339975	0.02969953	0.107	0.091	1
Usp42	0.390267435	-0.02826674	0.165	0.187	1
Zdhhc6	0.390838176	-0.026505288	0.179	0.202	1
Med29	0.390921141	0.010783267	0.195	0.188	1
Plec	0.390955112	0.028213378	0.11	0.094	1
Akap10	0.391005541	0.020174168	0.138	0.128	1
Mrpl34	0.392195795	0.006037133	0.286	0.28	1
Tfg	0.392840722	0.017519338	0.148	0.139	1
Tbcc	0.394187227	0.026322052	0.117	0.1	1
Spata2	0.394402929	0.026436268	0.116	0.1	1
Ttc19	0.39476064	0.009121959	0.211	0.201	1
Mfsd5	0.394856551	-0.03457343	0.124	0.152	1
Snapc1	0.395632208	0.015748795	0.159	0.148	1
Akt1s1	0.396458341	-0.042209349	0.096	0.125	1
Lemd2	0.397556356	0.016729715	0.151	0.142	1
Hivep3	0.397942836	-0.042504718	0.097	0.106	1
Rdh11	0.398029038	-0.039693631	0.108	0.13	1
Ints3	0.398685263	0.028410064	0.109	0.092	1
Arhgap5	0.399553016	0.026080558	0.115	0.101	1
Setd7	0.400520172	-0.042705686	0.095	0.122	1
Txlng	0.400862543	-0.029482148	0.155	0.176	1
Lsm10	0.401500391	0.028125484	0.11	0.09	1
G3bp2	0.401865237	0.003985734	0.436	0.442	1
Ubr5	0.401935588	-0.01863003	0.387	0.401	1
Slc20a2	0.402100411	0.012617214	0.176	0.171	1
Dcaf10	0.403083262	0.029935567	0.106	0.086	1
Abl1	0.403254176	0.026031478	0.116	0.098	1
Grn	0.403611461	-0.036916028	0.117	0.141	1
Mfap3	0.404443931	0.014383178	0.161	0.151	1
Rcc1l	0.405471873	-0.048631101	0.076	0.108	1
Rnf149	0.407949361	-0.041462272	0.097	0.126	1
Sppl3	0.408312337	0.014956331	0.155	0.147	1
Zfp398	0.408389702	-0.033819106	0.128	0.15	1
Csnk2a1	0.409580628	0.005140801	0.408	0.4	1
1810030O07Rik	0.410658396	0.019845472	0.133	0.12	1
Mterf3	0.41096744	0.025089441	0.116	0.1	1
Ubr7	0.411783187	0.023379763	0.119	0.108	1
Rad54l2	0.412330603	0.021552656	0.126	0.115	1
1700017B05Rik	0.412867765	-0.035206083	0.119	0.147	1
Esyt2	0.412990974	0.027079996	0.109	0.093	1
Lonp1	0.41339404	-0.029579253	0.153	0.17	1
Rfxap	0.413696978	0.020968217	0.131	0.116	1
Rps3a1	0.413731542	-0.009843033	0.999	1	1
Psen1	0.414004159	0.018642988	0.141	0.129	1
Srebf1	0.414985385	0.02691909	0.11	0.094	1
Med23	0.415746041	0.022132802	0.124	0.111	1
Rps15	0.416291903	-0.019828559	0.996	0.997	1
Zbtb43	0.416540003	0.018257008	0.136	0.127	1
Patl1	0.41660816	0.015400799	0.155	0.146	1
Tagap1	0.416913901	-0.034096014	0.126	0.148	1
Rbm12	0.417243383	0.013504043	0.164	0.156	1
B4galt3	0.417927835	0.030570138	0.102	0.081	1
Fam160b1	0.418034208	0.024510332	0.117	0.101	1
Gm10073	0.419436071	-0.025901391	0.176	0.195	1
Ulk2	0.41946148	0.026978768	0.107	0.093	1
Mbip	0.420294449	0.028447919	0.106	0.087	1
Comt	0.420622965	-0.039554877	0.103	0.127	1
Ap1g2	0.420641828	0.017657774	0.14	0.13	1
Ppp2cb	0.421948354	0.022502296	0.122	0.106	1
Ppil3	0.42262151	0.019062845	0.136	0.122	1
Chchd7	0.424098637	0.021325398	0.122	0.111	1
Adprhl2	0.424150202	-0.027320358	0.161	0.18	1
Nsmce4a	0.425016646	-0.016932545	0.384	0.391	1
N6amt1	0.425253551	0.011923773	0.181	0.175	1
Nlk	0.425513433	0.015893462	0.147	0.142	1
Vti1a	0.425975962	0.012157995	0.174	0.167	1
Tmem64	0.426039912	0.016734132	0.143	0.136	1
Mtss1	0.426399443	0.010065818	0.215	0.205	1
Rab28	0.426651463	0.030823349	0.1	0.079	1
Cep63	0.426826075	0.017443601	0.14	0.13	1
Efhd2	0.427188944	0.010915624	0.178	0.169	1
Cpsf2	0.427747065	0.00474028	0.344	0.351	1
Rheb	0.429056252	-0.017831396	0.28	0.297	1
Raly	0.429647971	-0.018534018	0.48	0.488	1
Bloc1s2	0.429984537	0.014568743	0.155	0.145	1
Dpy30	0.430329526	-0.02348564	0.197	0.211	1
Senp3	0.430700753	-0.025185414	0.174	0.194	1
Fbxl20	0.430705034	0.029550352	0.101	0.081	1
Vps50	0.430725898	-0.041556485	0.093	0.118	1
Dok1	0.430810857	0.023305367	0.118	0.102	1
Yif1b	0.430987393	0.01854401	0.136	0.121	1
Dhx16	0.431227476	0.013329212	0.156	0.149	1
Slc39a10	0.432838759	-0.031962778	0.133	0.154	1
Lcorl	0.433989223	-0.025271627	0.175	0.186	1
Rassf5	0.434058367	0.019668042	0.128	0.117	1
Ptpn23	0.434592857	0.023551144	0.116	0.1	1
Zfp143	0.435395739	0.026991228	0.103	0.089	1
Dnmt1	0.435491166	0.013693533	0.159	0.149	1
Fam118b	0.435852317	0.026426388	0.108	0.09	1
Emc1	0.438029335	0.018380193	0.133	0.122	1
2510002D24Rik	0.438334477	0.008443118	0.201	0.195	1
Nup133	0.438755356	-0.035984159	0.11	0.135	1
Vamp3	0.438904841	0.018262467	0.133	0.123	1
Cdk5rap3	0.439006926	-0.03699686	0.106	0.131	1
Usp40	0.439369803	0.015023275	0.147	0.14	1
Gpn3	0.439644668	0.016914404	0.138	0.127	1
Cdkal1	0.439714127	0.017805102	0.139	0.125	1
Usp6nl	0.440472455	0.02546482	0.107	0.093	1
Ecsit	0.441033682	-0.040529628	0.091	0.121	1
Glud1	0.441692249	-0.017975273	0.305	0.322	1
Ube3a	0.441762269	-0.022179212	0.551	0.561	1
Fam53a	0.441874615	-0.030085208	0.139	0.161	1
Tor2a	0.442363521	0.028755263	0.1	0.081	1
Smad5	0.442434129	-0.026706499	0.166	0.179	1
Tubgcp2	0.443421057	0.025377285	0.108	0.09	1
Lage3	0.444586479	0.010130421	0.185	0.178	1
Ercc6	0.444844483	-0.032273514	0.129	0.148	1
Kif2a	0.445122749	-0.027668323	0.154	0.174	1
Tbc1d5	0.445181013	0.024202301	0.11	0.095	1
Ostc	0.445578947	-0.017377137	0.441	0.453	1
Usp3	0.445944036	0.006195779	0.226	0.225	1
Tubgcp5	0.446269874	0.021253427	0.118	0.107	1
BC003331	0.446515413	0.02695513	0.104	0.085	1
Atg16l1	0.450085407	0.008242635	0.194	0.193	1
Stk25	0.450288961	0.015582363	0.142	0.133	1
Zkscan1	0.450313338	-0.030235061	0.138	0.157	1
Vamp4	0.451777186	0.021410206	0.118	0.105	1
Pabpn1	0.451823652	0.004580943	0.363	0.361	1
Ccdc47	0.452426965	0.005569983	0.264	0.261	1
Msh3	0.45290564	-0.033158212	0.121	0.141	1
Tmem199	0.453478627	-0.036245091	0.105	0.134	1
Atp11c	0.453689485	0.019029321	0.124	0.116	1
Maip1	0.454205605	0.024597386	0.107	0.093	1
Mrpl13	0.454430372	-0.020431969	0.216	0.231	1
Kat14	0.454438026	-0.045235203	0.074	0.106	1
Kbtbd2	0.457190891	0.018517731	0.126	0.116	1
Ptpn2	0.45914595	0.006961155	0.211	0.204	1
Eefsec	0.45927573	-0.022837236	0.186	0.204	1
Pofut2	0.459361994	0.023016251	0.112	0.096	1
Senp5	0.459510394	-0.025221661	0.171	0.188	1
Ptpn11	0.460892953	0.003436217	0.284	0.281	1
Lamtor4	0.461323791	-0.019721257	0.23	0.24	1
Cmpk1	0.461617133	-0.017669419	0.286	0.304	1
Stat1	0.462094016	0.008946123	0.204	0.198	1
Tirap	0.462106889	0.027329019	0.1	0.081	1
Atxn7l3	0.462819212	0.004188656	0.327	0.324	1
Commd2	0.462896114	0.008846047	0.184	0.181	1
Cdc73	0.463501323	0.003605655	0.335	0.334	1
Ppcs	0.463816537	0.020525441	0.118	0.103	1
Nhlrc3	0.464789332	0.022485519	0.113	0.094	1
Ankrd17	0.465602864	-0.022483326	0.597	0.614	1
Nt5c	0.46571698	-0.020054401	0.228	0.237	1
Nudt19	0.466152262	-0.046841536	0.068	0.1	1
Yif1a	0.466783345	0.014876612	0.141	0.134	1
Uqcrc2	0.466788367	0.003098224	0.372	0.372	1
Shisa8	0.467275795	-0.033084374	0.116	0.14	1
Mrpl49	0.467447864	0.019384639	0.122	0.109	1
Mrpl22	0.467547408	-0.030426564	0.133	0.153	1
Mta1	0.468065167	-0.035070157	0.111	0.13	1
Mdm4	0.468126809	0.003912756	0.4	0.395	1
Arhgap12	0.468653722	0.02190032	0.112	0.098	1
Ldah	0.4689686	-0.024296815	0.172	0.189	1
Hdgfl2	0.46931661	0.00826807	0.183	0.179	1
Uba2	0.469611382	0.004030741	0.273	0.266	1
Zfp830	0.46976756	0.009243153	0.177	0.169	1
Tmem230	0.469911331	0.017139704	0.131	0.118	1
Sec63	0.470168724	0.004107565	0.277	0.282	1
Drg2	0.470200713	-0.03493577	0.107	0.131	1
Atraid	0.470445569	0.019608965	0.119	0.108	1
Cwc22	0.470696705	0.004487517	0.254	0.249	1
Sema4b	0.471437293	0.023043922	0.108	0.092	1
Ipo11	0.471781839	-0.040068773	0.088	0.115	1
Kif13b	0.472007616	0.021055708	0.115	0.1	1
Zfp142	0.472319686	0.018985684	0.121	0.109	1
Psmd12	0.47293524	-0.016503693	0.375	0.378	1
Fkbp2	0.473011859	0.004553004	0.255	0.256	1
Jpt2	0.473699265	-0.045590666	0.071	0.1	1
Tdp2	0.473899142	0.013395756	0.146	0.14	1
Parp9	0.476250401	0.019164015	0.12	0.11	1
Mrpl1	0.477317092	0.020093943	0.117	0.104	1
Alg3	0.47872915	-0.046064456	0.068	0.1	1
Thrap3	0.479110283	-0.005451582	0.683	0.685	1
Pyroxd1	0.479381495	0.021661341	0.109	0.098	1
Kctd2	0.480081215	0.022555621	0.106	0.095	1
Zfp91	0.481134482	-0.000203826	0.5	0.502	1
Arhgap1	0.482106382	0.021357047	0.111	0.096	1
Eif4h	0.482184369	0.000809573	0.492	0.496	1
Pigk	0.482362917	0.016632721	0.129	0.119	1
Paxbp1	0.482543782	0.004247548	0.27	0.265	1
Mrpl48	0.482826559	0.011221228	0.158	0.157	1
Pde12	0.482983272	-0.030163048	0.128	0.152	1
Mcts1	0.483322626	-0.023393386	0.179	0.197	1
Sptssa	0.484461444	-0.026300144	0.15	0.17	1
Mbd6	0.485701919	0.02476519	0.1	0.084	1
Hps3	0.486538704	0.00800228	0.189	0.193	1
Rpl27a	0.48714629	-0.008575024	1	1	1
G6pc3	0.488538083	-0.041934009	0.078	0.105	1
Coro1c	0.48904974	-0.024508737	0.165	0.185	1
Ttc4	0.489420063	0.009650264	0.166	0.163	1
Asna1	0.489557504	0.012101919	0.151	0.143	1
Mrrf	0.489562549	-0.040381935	0.081	0.11	1
Reps1	0.489683398	0.019567385	0.114	0.104	1
Rpa3	0.490172582	0.017908498	0.122	0.106	1
Ccdc117	0.490508329	0.022316929	0.106	0.092	1
Tmem189	0.492099517	0.016323865	0.128	0.117	1
Ctnnbl1	0.493665887	0.011616593	0.156	0.146	1
Gpat4	0.493950257	-0.02808297	0.139	0.155	1
Clasp2	0.494271519	0.012941306	0.143	0.136	1
Mapk8	0.495997013	0.011532004	0.155	0.152	1
Mrpl10	0.497533671	0.012367251	0.147	0.139	1
Ormdl3	0.497755998	0.023650042	0.1	0.086	1
Stk16	0.499191624	-0.024187243	0.166	0.184	1
Sart1	0.500258123	-0.016272247	0.31	0.316	1
Mcrip1	0.500707518	-0.019037224	0.229	0.244	1
Gm26518	0.501551176	0.020605268	0.109	0.097	1
Prelid3b	0.501826164	0.009843828	0.161	0.155	1
Preb	0.502174272	0.010889049	0.151	0.145	1
Golga1	0.502184627	0.022636815	0.103	0.088	1
Metap1	0.502188521	-0.023237419	0.171	0.191	1
Tmem70	0.502334816	-0.03565593	0.1	0.122	1
Lrrc41	0.502662284	0.014560742	0.132	0.123	1
Pcid2	0.503648778	0.02180831	0.104	0.091	1
2410015M20Rik	0.504025935	-0.015409489	0.471	0.469	1
Rrm1	0.505718656	0.014177119	0.135	0.122	1
Skiv2l2	0.506193996	-0.017511011	0.284	0.295	1
Gdap10	0.506459557	-0.03740524	0.088	0.115	1
Trub2	0.507734899	-0.027491263	0.141	0.158	1
Pop7	0.507895716	-0.018888779	0.22	0.229	1
Uhrf2	0.507973336	0.003402309	0.337	0.333	1
Slc39a9	0.508203509	0.017840988	0.117	0.104	1
Usp21	0.508733392	0.017393826	0.117	0.106	1
Tpm1	0.509199135	0.019978754	0.109	0.095	1
Vac14	0.510363022	-0.02598123	0.146	0.163	1
Zcchc4	0.510962817	0.015498836	0.126	0.117	1
Rint1	0.51124961	0.01701864	0.121	0.109	1
Stip1	0.511414058	-0.018768627	0.389	0.395	1
Agk	0.511887227	-0.032288581	0.111	0.132	1
Pip4k2b	0.512016511	-0.039918442	0.079	0.105	1
Med31	0.512271116	0.015198491	0.126	0.117	1
Epm2aip1	0.512354267	0.011076403	0.154	0.148	1
Uqcr10	0.512375564	-0.025913918	0.632	0.64	1
Cox19	0.512377299	0.016776279	0.12	0.108	1
Rgs19	0.512552387	0.003061085	0.284	0.275	1
Pign	0.512902211	0.022135668	0.101	0.087	1
Itpa	0.513349359	0.012669249	0.144	0.133	1
Prpf38b	0.51383814	-0.027151	0.733	0.748	1
Xndc1	0.514698386	0.01512061	0.126	0.117	1
Psen2	0.515545453	0.009551743	0.156	0.153	1
Pvt1	0.516496749	0.020316438	0.106	0.094	1
Smg9	0.516539999	0.021078069	0.104	0.088	1
Ythdc2	0.516827461	0.010538966	0.151	0.148	1
Usp12	0.517009277	0.010467385	0.153	0.146	1
Pnpla2	0.519238535	0.006559723	0.188	0.184	1
Qrich1	0.51966433	0.002379767	0.298	0.3	1
Mocs2	0.520064358	0.020485044	0.105	0.09	1
Upf3a	0.520221865	0.007166109	0.189	0.186	1
Rpa1	0.520499643	0.011328869	0.146	0.136	1
Terf2	0.520519907	0.006955654	0.184	0.18	1
Lrrc47	0.520768939	-0.023466976	0.163	0.182	1
Gapvd1	0.520931626	-0.000703751	0.442	0.445	1
Ago1	0.52213227	0.009004822	0.163	0.156	1
Mex3c	0.522346348	0.014533242	0.125	0.118	1
Ccdc84	0.522662596	0.021882427	0.101	0.084	1
Zmpste24	0.523298772	0.00868745	0.164	0.16	1
Atp6v1h	0.523760921	0.016819942	0.115	0.108	1
Gle1	0.525637416	0.004934434	0.208	0.209	1
Atp5a1	0.525714429	-0.008610641	0.766	0.756	1
Bud13	0.526011763	0.016757976	0.115	0.107	1
Tmem248	0.526028073	0.004186629	0.229	0.226	1
Gtpbp6	0.526163911	-0.029818347	0.118	0.14	1
Ndufs1	0.527599176	0.005019277	0.204	0.203	1
Tmx2	0.527758495	0.019628563	0.105	0.093	1
Nt5c3	0.527936092	-0.033033283	0.104	0.123	1
Myo9a	0.528401383	-0.034174252	0.098	0.12	1
Dnajb4	0.528501829	0.019518181	0.104	0.093	1
Srrt	0.528952765	-0.016592139	0.441	0.448	1
Bcl11a	0.529185109	-0.02614036	0.592	0.612	1
Fbxo22	0.529221378	0.021004851	0.1	0.088	1
Pwwp2a	0.529424412	0.004027096	0.252	0.248	1
Cars	0.529514212	0.002420765	0.294	0.294	1
Cops2	0.529888962	0.006739554	0.177	0.174	1
Amd1	0.529957714	-0.032083812	0.106	0.128	1
Kcmf1	0.530615493	0.00349253	0.293	0.292	1
Plcl2	0.53106646	0.018046091	0.109	0.098	1
Lrrc42	0.532417973	-0.034538725	0.096	0.119	1
Pias2	0.536435633	0.019791203	0.101	0.09	1
Cog5	0.536830652	0.010005141	0.148	0.143	1
Nup85	0.537510952	-0.038980963	0.077	0.102	1
Cers5	0.538189332	0.018585075	0.106	0.095	1
Tpd52l2	0.53843064	-0.017511011	0.24	0.257	1
Dpp9	0.539834997	0.010086154	0.15	0.145	1
Zfp180	0.540086994	0.019380583	0.103	0.091	1
Nudcd3	0.540518488	-0.015658155	0.51	0.518	1
Impad1	0.540967017	0.017021949	0.109	0.102	1
Tra2a	0.541169572	-0.00192767	0.751	0.76	1
Triap1	0.541473607	0.014496954	0.124	0.114	1
Aldh9a1	0.541526473	0.016436321	0.113	0.104	1
Usf2	0.543972298	-0.015600367	0.283	0.297	1
Ilkap	0.544149952	0.002742873	0.261	0.262	1
Rnf38	0.54421445	0.016559313	0.112	0.102	1
Mrps23	0.544441667	-0.018371141	0.221	0.228	1
Rbmx2	0.544478671	0.017380533	0.108	0.098	1
4931406P16Rik	0.545061392	0.009083199	0.149	0.15	1
Tor3a	0.546160819	0.018079644	0.109	0.09	1
Rhbdd2	0.546582698	-0.033963739	0.095	0.115	1
Nedd1	0.547019143	0.01814658	0.107	0.094	1
Mum1	0.547215944	-0.034637499	0.089	0.113	1
Rbm38	0.547226682	-0.022575008	0.159	0.179	1
Daxx	0.548388826	0.007443745	0.166	0.16	1
Ddhd1	0.548931371	0.009570457	0.147	0.142	1
Mrpl9	0.549781979	0.007394776	0.174	0.173	1
Gbe1	0.550172471	0.013315352	0.124	0.119	1
Mrpl58	0.550470158	0.006861875	0.169	0.167	1
Higd1a	0.551069006	0.001841943	0.329	0.333	1
Dvl1	0.551980851	-0.032963777	0.097	0.119	1
Naxd	0.552262769	0.002059909	0.24	0.238	1
Hacd2	0.552388365	0.012686697	0.132	0.121	1
Acadm	0.552453016	0.013925648	0.124	0.113	1
Ylpm1	0.553176568	0.001680528	0.324	0.32	1
Necap1	0.553613438	0.01814658	0.104	0.091	1
Bcas2	0.553896853	0.000948297	0.408	0.401	1
Wdr48	0.554266958	-0.022758826	0.159	0.18	1
Zfp595	0.554498972	0.016019139	0.11	0.1	1
Abcc1	0.555334956	-0.01653939	0.254	0.268	1
Snx8	0.556167242	0.013961637	0.12	0.112	1
Cdkn2aipnl	0.556793739	0.006332745	0.177	0.17	1
Chrac1	0.556926522	0.00185233	0.352	0.353	1
Pdhb	0.55759539	0.002852826	0.241	0.24	1
Cul4a	0.559304244	0.011685128	0.131	0.123	1
Dtnbp1	0.559385063	0.017273244	0.105	0.093	1
Fam160a2	0.560024903	0.017526478	0.104	0.095	1
Nt5c3b	0.561287328	-0.03486138	0.088	0.11	1
Ogfr	0.561679763	-0.017682139	0.217	0.229	1
Srek1	0.562769017	0.001532949	0.409	0.412	1
Slc9a8	0.56349637	0.002331996	0.256	0.259	1
Foxj3	0.564947243	-0.018904583	0.202	0.216	1
Zdhhc4	0.565663561	0.015428663	0.112	0.1	1
Tmem87b	0.565779582	0.010961056	0.134	0.129	1
Mrpl27	0.566371789	0.012577964	0.125	0.119	1
Plp2	0.56640651	0.017809317	0.101	0.091	1
1810058I24Rik	0.566448026	0.000712747	0.329	0.331	1
Shprh	0.566616318	-0.019267397	0.189	0.2	1
Vezt	0.567228878	0.015563015	0.108	0.103	1
Pigm	0.567499311	-0.023774797	0.147	0.166	1
Gtf3c4	0.567725472	-0.034922553	0.085	0.107	1
Glul	0.567764359	0.011813833	0.126	0.122	1
Anapc16	0.568791294	0.002163129	0.294	0.293	1
Glmn	0.569759876	-0.036380316	0.078	0.103	1
Sap30bp	0.570664136	0.00665346	0.166	0.16	1
Polr3a	0.571153849	0.00661672	0.167	0.16	1
Myef2	0.571627146	0.006843452	0.165	0.162	1
Mrpl35	0.571940297	-0.018027212	0.213	0.227	1
Zfp53	0.572525009	0.017499507	0.102	0.088	1
Rbbp5	0.573981654	0.017962868	0.1	0.089	1
Hsd17b10	0.575270082	-0.020760326	0.168	0.185	1
Puf60	0.576222015	0.000696607	0.437	0.435	1
Gan	0.576814167	-0.03438483	0.084	0.109	1
Pacs1	0.57747391	0.014342117	0.114	0.104	1
Ipo9	0.578517516	0.016966438	0.101	0.091	1
Myg1	0.57853531	0.010885688	0.134	0.126	1
Arhgef18	0.578768779	0.015189819	0.109	0.098	1
Mitd1	0.580302498	0.006507168	0.155	0.153	1
Nde1	0.583625653	0.013827925	0.113	0.105	1
Arhgef7	0.584029884	0.006770544	0.157	0.152	1
Wrap73	0.585207423	0.016653478	0.102	0.089	1
Akap8	0.585649482	-0.014818972	0.287	0.301	1
Zfp809	0.586796782	0.015181616	0.105	0.098	1
Tmem163	0.587192415	0.010157198	0.138	0.13	1
Gtf2e1	0.589760696	-0.029853351	0.102	0.12	1
Rpl27-ps3	0.589872969	0.012011018	0.123	0.114	1
Ppfia1	0.590215363	0.000894979	0.248	0.247	1
Hps4	0.591209639	0.016114298	0.101	0.092	1
Klhdc3	0.591643309	0.004904449	0.172	0.175	1
Sltm	0.592124734	-0.017294439	0.554	0.573	1
Eif4a2	0.592606123	-0.021560503	0.738	0.733	1
Nsmce2	0.592793067	0.006898152	0.152	0.151	1
Rnf121	0.592895217	0.014189299	0.11	0.1	1
Mtfr1l	0.593938234	0.007103586	0.154	0.15	1
Oser1	0.594274051	0.009127603	0.134	0.131	1
Ppp1r8	0.594671188	0.010640029	0.125	0.123	1
Mad2l2	0.595666691	-0.032139965	0.089	0.11	1
Atxn2	0.59582842	-0.018722415	0.194	0.214	1
Pofut1	0.596429692	0.007119621	0.157	0.153	1
Sf3a1	0.596803563	0.001328908	0.275	0.274	1
Mllt1	0.597170132	-0.030712996	0.095	0.117	1
Rhno1	0.597833673	0.007408548	0.148	0.141	1
Rhot1	0.598515128	-0.021508406	0.159	0.176	1
Zcchc10	0.599049682	0.012055401	0.119	0.113	1
Aacs	0.599519595	0.006635836	0.15	0.153	1
Nup107	0.600382903	-0.033413506	0.081	0.106	1
Ash2l	0.601801486	0.003099269	0.2	0.199	1
Emc7	0.602728487	0.002475961	0.267	0.267	1
BC004004	0.602775125	-0.018579279	0.182	0.195	1
Mtg2	0.602812146	0.013013134	0.112	0.104	1
Tbp	0.604170402	0.01296481	0.108	0.101	1
Cdk7	0.604227343	-0.022676677	0.146	0.163	1
Camta1	0.605647111	-0.02191395	0.146	0.166	1
Morf4l2	0.607078137	-0.014527802	0.295	0.307	1
Ints14	0.60732871	0.014611139	0.102	0.093	1
Slc35b3	0.609166989	0.012288202	0.113	0.103	1
Foxk1	0.609333982	-0.028679822	0.101	0.124	1
Mtr	0.609940036	0.010763049	0.122	0.113	1
Rbm18	0.611044017	0.009527222	0.126	0.12	1
Rpl17	0.611545838	-0.008541182	0.999	0.998	1
